chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,148508,0,0,0,0,0,3,1.3,0.0,0,Mahmoud Ahmed,0.0,40,False,,,55,148508.jpg,0.0,Ibrahim Hassan,1.4,False,,a,2,7,0,6208,6208,6100,6100,0.0,0.0,Trézéguet,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,450,173,453,174,435,159,454,174,6.0,,3.0,,,
,,149484,0,0,0,0,0,2,1.6,0.0,0,Tyrone,0.0,41,False,,,50,149484.jpg,0.0,Mings,1.5,False,,a,2,7,0,2336,2336,4919,4919,0.0,0.0,Mings,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,386,162,385,162,355,158,392,162,,,,,,
,,169359,0,0,0,0,0,2,1.1,0.0,0,Matt,0.0,42,False,,,45,169359.jpg,0.0,Targett,1.0,False,,a,2,7,0,2010,2010,3670,3670,0.0,0.0,Targett,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,308,129,300,128,249,112,315,129,4.0,,5.0,,,
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,James,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,184386.jpg,0.0,Bree,0.0,False,,u,2,7,0,28,28,153,153,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,315,134,307,133,257,118,322,134,,,,,,
,,184704,0,0,0,0,0,3,0.5,0.0,0,Marvelous,0.0,44,False,,,45,184704.jpg,0.0,Nakamba,0.6,False,,a,2,7,0,1254,1254,2847,2847,0.0,0.0,Nakamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,316,111,308,113,258,77,323,114,,,,,,
,,193488,0,0,0,0,0,3,1.6,0.0,0,Anwar,0.0,45,False,,,60,193488.jpg,0.0,El Ghazi,0.2,False,,a,2,7,0,524,524,955,955,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,493,192,495,193,489,187,496,193,5.0,,2.0,,2.0,
,,199798,0,0,0,0,0,2,1.1,0.0,0,Ezri,0.0,46,False,,,45,199798.jpg,0.0,Konsa Ngoyo,0.2,False,,a,2,7,0,361,361,761,761,0.0,0.0,Konsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,320,136,312,135,264,122,327,136,,,,,,
,,203368,0,0,0,0,0,2,1.1,0.0,0,Frédéric,0.0,47,False,,,45,203368.jpg,0.0,Guilbert,0.2,False,,a,2,7,0,165,165,632,632,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,322,138,314,137,267,124,329,138,,,,,,
0.0,0.0,213345,0,0,0,0,0,4,0.0,0.0,0,Wesley,0.0,48,False,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,213345.jpg,0.0,Moraes,0.0,False,,i,2,7,0,70,70,152,152,0.0,0.0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,495,55,497,56,492,57,498,57,,,,,1.0,
,,217487,0,0,0,0,0,4,1.3,0.0,0,Mbwana,0.0,49,False,,,60,217487.jpg,0.0,Samatta,0.1,False,,a,2,7,0,575,575,889,889,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,496,56,498,57,493,58,499,58,,,,,,
,,221239,0,0,0,0,0,4,0.5,0.0,0,Keinan,0.0,50,False,,,45,221239.jpg,0.0,Davis,16.0,False,,a,2,7,0,86401,86401,56682,56682,0.0,0.0,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,332,27,324,30,280,31,339,31,,,,,,
,,223349,0,0,0,0,0,4,0.5,0.0,0,Indiana,0.0,51,False,,,45,223349.jpg,0.0,Vassilev,2.3,False,,a,2,7,0,21678,21678,13398,13398,0.0,0.0,Vassilev,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,335,28,327,31,283,32,342,32,,,,,,
,,230046,0,0,0,0,0,3,0.9,0.0,0,Douglas Luiz,0.0,52,False,,,50,230046.jpg,0.0,Soares de Paulo,0.4,False,,a,2,7,0,1162,1162,2013,2013,0.0,0.0,Douglas Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,415,157,415,158,391,137,420,158,,,4.0,,,
,,199796,0,0,0,0,0,2,1.6,0.0,0,Matthew,0.0,496,False,,,50,199796.jpg,0.0,Cash,0.4,False,,a,2,7,0,1455,1455,1589,1589,0.0,0.0,Cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,406,169,405,169,378,165,411,169,,,,,,
