chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
0.0,,104547,0,0,0,0,0,4,0.0,,0,Dwight,0.0,329,False,Knee injury - Expected back 12 Jan,2020-08-27T12:30:12.628215Z,61.099999999999994,104547.jpg,2.9,Gayle,0.2,False,,i,14,4,58,0,0,0,0,0.0,9.7,Gayle,842,4,2,4,15,0,0,0,2,0,0,10,190,217.0,86.2,348.0,64.7,260.0,29.0,239.0,37.0,96.0,33.0,216.0,33.0
,,104953,0,0,0,0,0,3,1.8,,0,Christian,0.0,330,False,,,55.5,104953.jpg,1.9,Atsu,0.1,False,,a,14,4,37,0,0,0,0,0.0,6.7,Atsu,738,0,3,3,15,0,0,0,2,0,0,0,104,121.4,186.7,55.0,36.3,302.0,127.0,176.0,114.0,280.0,137.0,288.0,128.0
25.0,,106618,0,0,0,0,0,2,0.4,,0,Paul,0.0,331,False,Lack of match fitness - 25% chance of playing,2020-09-06T00:30:15.468275Z,46.499999999999986,106618.jpg,2.8,Dummett,0.1,False,,d,14,4,44,0,0,0,0,0.0,9.8,Dummett,1227,0,0,5,20,1,0,0,2,0,0,4,230,265.2,63.1,50.0,37.7,228.0,87.0,269.0,89.0,283.0,99.0,281.0,98.0
,,109528,0,0,0,0,0,2,1.6,,0,Javier,0.0,332,False,,,45.599999999999994,109528.jpg,3.1,Manquillo,0.4,False,,a,14,4,65,0,0,0,0,0.0,14.4,Manquillo,1597,0,1,8,21,0,0,0,5,0,0,4,288,232.0,100.8,40.0,37.3,247.0,95.0,229.0,65.0,293.0,104.0,284.0,99.0
,,111773,0,0,0,0,0,2,1.6,,0,Emil,0.0,333,False,,,46.29999999999999,111773.jpg,2.2,Krafth,0.1,False,,a,14,4,37,0,0,0,0,0.0,8.2,Krafth,1015,0,1,3,23,0,0,0,0,0,0,2,187,184.4,28.8,39.0,25.2,274.0,103.0,310.0,112.0,294.0,105.0,307.0,108.0
25.0,,119471,0,0,0,0,0,2,0.5,,0,Fabian,0.0,334,False,Shoulder Dislocation - 25% chance of playing,2020-08-15T10:00:11.898916Z,50.3,119471.jpg,2.5,Schär,0.0,False,,d,14,4,55,0,0,0,0,0.0,11.0,Schär,1669,2,1,4,38,0,0,0,5,0,0,2,297,440.6,58.3,179.0,67.8,140.0,51.0,275.0,93.0,185.0,42.0,208.0,62.0
,,151119,0,0,0,0,0,2,1.6,,0,DeAndre,0.0,335,False,,,45.900000000000006,151119.jpg,1.6,Yedlin,0.5,False,,a,14,4,26,0,0,0,0,0.0,5.8,Yedlin,934,1,0,1,18,0,0,0,3,0,0,0,122,165.6,118.1,43.0,32.9,283.0,106.0,216.0,57.0,291.0,103.0,293.0,102.0
,,153127,0,0,0,0,0,3,1.4,,0,Isaac,0.0,336,False,,,50.800000000000004,153127.jpg,2.5,Hayden,0.1,False,,a,14,4,73,0,0,0,0,0.0,14.6,Hayden,2220,1,4,8,36,0,0,0,4,1,0,3,309,368.6,227.6,189.0,78.5,173.0,73.0,157.0,103.0,177.0,98.0,176.0,94.0
,,155513,0,0,0,0,0,3,1.4,,0,Rolando,0.0,337,False,,,51.19999999999999,155513.jpg,0.0,Aarons,0.1,False,,a,14,4,0,0,0,0,0,0.0,0.0,Aarons,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,463.0,183.0,460.0,183.0,455.0,182.0,463.0,183.0
,,170137,0,0,0,0,0,3,1.8,,0,Allan,0.0,338,False,,,55.2,170137.jpg,3.5,Saint-Maximin,18.7,False,,a,14,4,92,0,0,0,0,0.0,16.7,Saint-Maximin,1860,3,5,8,22,0,0,0,0,0,0,7,321,434.0,423.4,542.0,139.8,146.0,56.0,83.0,60.0,57.0,30.0,71.0,41.0
